state,diet_need,day_of_week,meal_type,dish,allergens,instructions,exercise,warning
Maharashtra,weight_loss,Monday,breakfast,Poha,Peanuts,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Monday,lunch,Bhaji-Bhakri,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Monday,snack,Buttermilk,Milk,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Monday,dinner,Dal-Rice,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Tuesday,breakfast,Upma,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Tuesday,lunch,Jowar Roti and Sabzi,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Tuesday,snack,Apple slices,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Tuesday,dinner,Khichdi,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Wednesday,breakfast,Sabudana Khichdi,Peanuts,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Wednesday,lunch,Vegetable Curry with Chapati,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Wednesday,snack,Sprouts Salad,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Wednesday,dinner,Mutter Paneer,Milk,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Thursday,breakfast,Dalia,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Thursday,lunch,Lauki Sabzi with Roti,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Thursday,snack,Orange,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Thursday,dinner,Moong Dal Cheela,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Friday,breakfast,Oats with Fruits,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Friday,lunch,Rajma Chawal,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Friday,snack,Cucumber slices,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Friday,dinner,Palak Dal,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Saturday,breakfast,Besan Cheela,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Saturday,lunch,Baingan Bharta with Roti,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Saturday,snack,Yogurt,Milk,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Saturday,dinner,Lentil Soup,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Sunday,breakfast,Fruit Smoothie,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Sunday,lunch,Paneer Bhurji with Roti,Milk,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Sunday,snack,Almonds,Nuts,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
Maharashtra,weight_loss,Sunday,dinner,Mixed Vegetable Khichdi,None,Focus on portion control and mindful eating. Drink plenty of water. Avoid sugary drinks and processed foods.,Aim for 30-45 minutes of brisk walking or jogging daily. Include strength training 2-3 times a week.,"Avoid smoking and excessive alcohol consumption, as they can hinder your health goals."
